id	paper	permanent_id	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
32915	514	GF03007973S	soil	37.5	101.2	Asia	2013	2013	grassland	ITS1F/ITS2	-0.5	546	7.3	6	54256	0	1
32969	50	GF05026192S	soil	46.51	6.86	Europe	2015	2015	grassland	ITS3/ITS4	8.6	1496	5.8	12.1	34880	0	4
32985	323	GF05000731S	rhizosphere soil	29.06	121.68	Asia	2016	2016	grassland	ITS3/ITS4	18	1509	NA	NA	4148	0	1
32986	489	GF03009611S	rhizosphere soil	30.67	108.24	Asia	2015	2015	cropland	ITS3/ITS4	17.7	1236	6.6	12.1	13087	0	34
32988	226	GF05011035S	soil	30.37	114.2	Asia	2017	2017	cropland	ITS3/ITS4	17.4	1283	6.4	13.6	43874	0	50
33014	784	GF01007043S	soil	34.5567	107.926	Asia	2016	2016	forest	ITS5/ITS2	12	785	7	14.5	45091	0	6
33018	461	GF04001741S	soil	53.1373	13.8756	Europe	2011	2011	grassland	fITS7/ITS4	8.9	581	5.8	11.5	53148	0	3
33042	50	GF05026087S	soil	46.75	9.45	Europe	2012	2012	cropland	ITS3/ITS4	7.8	959	6.1	13.8	34452	0	1
33078	641	GF02000502S	soil	-35.3506	144.647	Australia	2003	2015	forest	fITS7/ITS4	16.5	383	7.1	2	34944	0	8
33098	613	GF02006257S	soil	36.084	108.527	Asia	2017	2017	grassland	ITS5/ITS2	9.3	532	7.8	6.5	49162	0	2
33131	784	GF01007044S	soil	34.5567	107.926	Asia	2016	2016	forest	ITS5/ITS2	12	785	7	14.5	81032	0	7
33136	784	GF01007037S	soil	34.5567	107.926	Asia	2016	2016	forest	ITS5/ITS2	12	785	7	14.5	53622	0	13
33189	835	GF01002106S	soil	-42.5705	146.771	Australia	2014	2014	grassland	ITS1F/ITS4	12.1	530	5.6	5.5	70171	0	6
33206	642	GF02000332S	soil	-15.9616	-5.65031	Africa	2018	2018	woodland	ITS3ngs1 to 5 + ITS3ngs10/ITS4ngs	19.8	886	7.1	2.9	7262	0	1
33215	439	GF04003402S	soil	43.01	125.33	Asia	2017	2017	cropland	ITS5/ITS2	5.8	692	6	6.9	83029	0	18
33219	419	GF04004929S	rhizosphere soil	42.663	116.033	Asia	2017	2017	woodland	ITS5/ITS2	2.9	363	8.1	3.6	62830	0	17
33220	109	GF05020417S	soil	52.7579	8.5475	Europe	2019	2019	cropland	fITS7/ITS4	9.5	745	5.8	15.5	23619	0	1
33231	50	GF05025911S	soil	45.85	9	Europe	2016	2016	cropland	ITS3/ITS4	12.1	1192	6.6	5.8	29334	0	7
33241	420	GF04004916S	rhizosphere soil	34.2833	108.067	Asia	2016	2016	cropland	ITS1F/ITS2	14.7	734	8	7.4	48445	0	2
33349	163	GF05016017S	topsoil	50.0605	18.4399	Europe	2018	2018	woodland	ITS3/ITS4	8.8	773	6.1	6.6	174574	0	1
33368	122	GF05019584S	soil	24.26	118.05	Asia	2018	2018	forest	ITS5/ITS2	22.1	1142	6.1	8.9	63678	0	6
33373	312	GF05001219V	soil	-11.48	27.66	Africa	2012	2012	woodland	ITS9MUNngs/ITS4ngsUni	NA	NA	5.4	0	9676	0	1
33376	117	GF05019842S	soil	59.2386	24.1252	Europe	2019	2019	cropland	fITS7+fITS7o/ITS4	6.2	575	6.8	16.2	44650	0	3
33378	160	GF05016060S	soil	25.7886	112.621	Asia	2016	2016	cropland	5.8S_Fun/ITS4_Fun	19	1533	6.4	12.6	21891	0	5
33382	99	GF05021993S	air	46.34	-63.17	North America	2011	2011	cropland	ITS5/ITS4	5.7	1196	4.9	16.3	16901	0	8
33400	295	GF05003503S	water	34.9868	135.745	Asia	2017	2017	aquatic	ITS1F_KYO2/ITS2_KYO2	16.3	1352	6.3	17.3	38148	0	16
33405	180	GF05014603S	air	40.4081	116.674	Asia	2018	2018	anthropogenic	ITS5/ITS2	11.9	563	7.5	7.6	94240	0	5
33445	362	GF04018706S	root	33.7428	-117.705	North America	2015	2015	shrubland	5.8S_Fun/ITS4_Fun	17.7	367	6.7	3.3	66203	1	201
33468	181	GF05014580S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	48278	0	11
33469	181	GF05014388S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	33372	0	11
33470	181	GF05014582S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	35910	0	10
33471	181	GF05014386S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	21961	0	76
33473	181	GF05014433S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	58181	0	25
33475	181	GF05014385S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	44564	0	122
33476	181	GF05014393S	air	45.2487	8.69997	Europe	2016	2016	cropland	ITS1F_KYO2/ITS2	14	869	7	6.7	36446	0	5
